Country,Count_median
Australia,500.0
Brunei Darussalam,
Cambodia,2500.0
China,
Democratic People's Republic of Korea,
Fiji,
Japan,
Lao People's Democratic Republic,500.0
Malaysia,2700.0
Mongolia,100.0
New Zealand,100.0
Papua New Guinea,
Philippines,500.0
Republic of Korea,
Singapore,100.0
Viet Nam,6100.0
Afghanistan,500.0
Bahrain,
Djibouti,500.0
Egypt,200.0
Iran (Islamic Republic of),2400.0
Jordan,100.0
Kuwait,100.0
Lebanon,100.0
Libya,100.0
Morocco,500.0
Oman,100.0
Pakistan,1400.0
Qatar,
Saudi Arabia,
Somalia,810.0
Sudan,1900.0
Syrian Arab Republic,100.0
Tunisia,100.0
United Arab Emirates,
Yemen,200.0
