Country,Count_median
Algeria,100.0
Angola,4800.0
Benin,2400.0
Botswana,15000.0
Burkina Faso,12000.0
Burundi,11000.0
Cabo Verde,200.0
Cameroon,19000.0
Central African Republic,11000.0
Chad,5600.0
Comoros,100.0
Côte d'Ivoire,44000.0
Democratic Republic of the Congo,43000.0
Equatorial Guinea,680.0
Eritrea,1100.0
Eswatini,5000.0
Ethiopia,58000.0
Gabon,1600.0
Gambia,500.0
Ghana,18000.0
Guinea,5000.0
Guinea-Bissau,1100.0
Kenya,120000.0
Lesotho,12000.0
Liberia,3000.0
Madagascar,500.0
Malawi,57000.0
Mali,7700.0
Mauritania,500.0
Mauritius,100.0
Mozambique,40000.0
Namibia,7300.0
Niger,2300.0
Nigeria,78000.0
Rwanda,18000.0
Senegal,1700.0
Sierra Leone,2400.0
South Africa,100000.0
South Sudan,5100.0
Togo,5600.0
Uganda,85000.0
United Republic of Tanzania,80000.0
Zambia,62000.0
Zimbabwe,120000.0
