Country,Count_median,WHO Region
Algeria,200.0,Africa
Angola,14000.0,Africa
Benin,2200.0,Africa
Botswana,4800.0,Africa
Burkina Faso,3300.0,Africa
Burundi,1900.0,Africa
Cabo Verde,100.0,Africa
Cameroon,18000.0,Africa
Central African Republic,4800.0,Africa
Chad,3100.0,Africa
Comoros,100.0,Africa
Côte d'Ivoire,16000.0,Africa
Democratic Republic of the Congo,13000.0,Africa
Equatorial Guinea,1800.0,Africa
Eritrea,500.0,Africa
Eswatini,2400.0,Africa
Ethiopia,11000.0,Africa
Gabon,1200.0,Africa
Gambia,980.0,Africa
Ghana,14000.0,Africa
Guinea,4300.0,Africa
Guinea-Bissau,1800.0,Africa
Kenya,25000.0,Africa
Lesotho,6100.0,Africa
Liberia,1800.0,Africa
Madagascar,1700.0,Africa
Malawi,13000.0,Africa
Mali,6500.0,Africa
Mauritania,500.0,Africa
Mauritius,610.0,Africa
Mozambique,54000.0,Africa
Namibia,2700.0,Africa
Niger,1200.0,Africa
Nigeria,53000.0,Africa
Rwanda,2900.0,Africa
Senegal,1300.0,Africa
Sierra Leone,2100.0,Africa
South Africa,71000.0,Africa
South Sudan,9900.0,Africa
Togo,3800.0,Africa
Uganda,23000.0,Africa
United Republic of Tanzania,24000.0,Africa
Zambia,17000.0,Africa
Zimbabwe,22000.0,Africa
Egypt,500.0,Africa
Libya,200.0,Africa
Morocco,500.0,Africa
Somalia,710.0,Africa
Congo,4000.0,Africa
Djibouti,500.0,Africa
Sudan,2900.0,Africa
Tunisia,100.0,Africa
