Country,Count_median
Argentina,140000.0
Bahamas,6000.0
Barbados,3000.0
Belize,4900.0
Bolivia (Plurinational State of),22000.0
Brazil,900000.0
Canada,
Chile,71000.0
Colombia,160000.0
Congo,89000.0
Costa Rica,15000.0
Cuba,31000.0
Dominican Republic,70000.0
Ecuador,44000.0
El Salvador,25000.0
Guatemala,47000.0
Guyana,8200.0
Haiti,160000.0
Honduras,23000.0
Jamaica,40000.0
Mexico,230000.0
Nicaragua,9400.0
Panama,26000.0
Paraguay,21000.0
Peru,79000.0
Suriname,5600.0
Trinidad and Tobago,
United States of America,
Uruguay,14000.0
Venezuela (Bolivarian Republic of),120000.0
