Country,Count_median
Argentina,1600.0
Bahamas,200.0
Barbados,100.0
Belize,200.0
Bolivia (Plurinational State of),670.0
Brazil,15000.0
Canada,199.0
Chile,590.0
Colombia,2800.0
Congo,4000.0
Costa Rica,500.0
Cuba,500.0
Dominican Republic,3000.0
Ecuador,1100.0
El Salvador,700.0
Guatemala,2200.0
Guyana,100.0
Haiti,4900.0
Honduras,1400.0
Jamaica,1800.0
Mexico,4200.0
Nicaragua,200.0
Panama,500.0
Paraguay,720.0
Peru,2100.0
Suriname,200.0
Trinidad and Tobago,1000.0
United States of America,17000.0
Uruguay,500.0
Venezuela (Bolivarian Republic of),3600.0
