Country,Count_median
Afghanistan,500.0
Australia,500.0
Bahrain,
Bangladesh,500.0
Bhutan,100.0
Brunei Darussalam,
Cambodia,2500.0
China,
Democratic People's Republic of Korea,
Djibouti,630.0
Egypt,200.0
Fiji,
India,
Indonesia,24000.0
Iran (Islamic Republic of),2400.0
Japan,
Jordan,100.0
Kuwait,100.0
Lao People's Democratic Republic,500.0
Lebanon,100.0
Libya,100.0
Malaysia,2900.0
Maldives,
Mongolia,100.0
Morocco,550.0
Myanmar,11000.0
Nepal,1400.0
New Zealand,100.0
Oman,100.0
Pakistan,1400.0
Papua New Guinea,
Philippines,500.0
Qatar,
Republic of Korea,
Saudi Arabia,
Singapore,100.0
Somalia,1400.0
Sri Lanka,500.0
Sudan,1900.0
Syrian Arab Republic,100.0
Thailand,27000.0
Timor-Leste,
Tunisia,100.0
United Arab Emirates,
Viet Nam,8500.0
Yemen,200.0
