Country,Count_median
Afghanistan,7200.0
Australia,28000.0
Bahrain,
Bangladesh,14000.0
Bhutan,1300.0
Brunei Darussalam,
Cambodia,73000.0
China,
Democratic People's Republic of Korea,
Djibouti,8800.0
Egypt,22000.0
Fiji,
India,
Indonesia,640000.0
Iran (Islamic Republic of),61000.0
Japan,30000.0
Jordan,500.0
Kuwait,640.0
Lao People's Democratic Republic,12000.0
Lebanon,2500.0
Libya,9200.0
Malaysia,87000.0
Maldives,
Mongolia,600.0
Morocco,21000.0
Myanmar,240000.0
Nepal,30000.0
New Zealand,3600.0
Oman,3200.0
Pakistan,160000.0
Papua New Guinea,45000.0
Philippines,77000.0
Qatar,
Republic of Korea,
Saudi Arabia,
Singapore,7900.0
Somalia,11000.0
Sri Lanka,3500.0
Sudan,59000.0
Syrian Arab Republic,660.0
Thailand,480000.0
Timor-Leste,
Tunisia,2800.0
United Arab Emirates,
Viet Nam,230000.0
Yemen,11000.0
