Country,Count_median
Afghanistan,500.0
Australia,200.0
Bahrain,100.0
Bangladesh,580.0
Bhutan,100.0
Brunei Darussalam,200.0
Cambodia,1300.0
China,20000.0
Democratic People's Republic of Korea,
Djibouti,500.0
Egypt,500.0
Fiji,
India,69000.0
Indonesia,38000.0
Iran (Islamic Republic of),2600.0
Japan,200.0
Jordan,100.0
Kuwait,100.0
Lao People's Democratic Republic,500.0
Lebanon,100.0
Libya,200.0
Malaysia,2600.0
Maldives,100.0
Mongolia,100.0
Morocco,500.0
Myanmar,7800.0
Nepal,910.0
New Zealand,100.0
Oman,100.0
Pakistan,6400.0
Papua New Guinea,1100.0
Philippines,1200.0
Qatar,100.0
Republic of Korea,510.0
Saudi Arabia,500.0
Singapore,100.0
Somalia,710.0
Sri Lanka,200.0
Sudan,2900.0
Syrian Arab Republic,100.0
Thailand,18000.0
Timor-Leste,100.0
Tunisia,100.0
United Arab Emirates,
Viet Nam,4700.0
Yemen,500.0
Kazakhstan,1000.0
Kyrgyzstan,500.0
Uzbekistan,1000.0
Turkmenistan,100.0
Tajikistan,1000.0
Turkey,200.0
Georgia,500.0
Armenia,200.0
Azerbaijan,500.0
Djibouti,1000.0

