Country,Count_median
Armenia,950.0
Belarus,1400.0
Bosnia and Herzegovina,100.0
Bulgaria,500.0
Croatia,500.0
Czechia,510.0
Denmark,4000.0
Estonia,3400.0
Finland,1100.0
France,82000.0
Georgia,980.0
Germany,45000.0
Hungary,830.0
Iceland,100.0
Ireland,1900.0
Israel,2700.0
Italy,68000.0
Kazakhstan,1100.0
Kyrgyzstan,710.0
Latvia,2300.0
Luxembourg,500.0
Montenegro,100.0
Netherlands,11000.0
Norway,1900.0
Portugal,32000.0
Republic of Moldova,10000.0
Republic of North Macedonia,100.0
Romania,7500.0
Serbia,1000.0
Slovakia,200.0
Spain,92000.0
Tajikistan,1400.0
Ukraine,170000.0
Uzbekistan,14000.0
