Country,Count_median
Albania,
Armenia,200.0
Austria,
Azerbaijan,
Belarus,200.0
Belgium,
Bosnia and Herzegovina,100.0
Bulgaria,100.0
Croatia,100.0
Cyprus,
Czechia,100.0
Denmark,100.0
Estonia,100.0
Finland,100.0
France,600.0
Georgia,100.0
Germany,500.0
Greece,
Hungary,100.0
Iceland,100.0
Ireland,100.0
Israel,100.0
Italy,830.0
Kazakhstan,500.0
Kyrgyzstan,200.0
Latvia,100.0
Lithuania,
Luxembourg,100.0
Malta,
Montenegro,100.0
Netherlands,200.0
Norway,100.0
Poland,
Portugal,930.0
Republic of Moldova,570.0
Republic of North Macedonia,100.0
Romania,200.0
Russian Federation,
Serbia,100.0
Slovakia,100.0
Slovenia,100.0
Spain,1550.0
Sweden, 500.0
Switzerland,
Tajikistan,500.0
Turkey,
Turkmenistan,
Ukraine,6100.0
United Kingdom of Great Britain and Northern Ireland,490.0
Uzbekistan,1300.0
