Country,Count_median,WHO Region
Algeria,200.0,Africa
Angola,10000.0,Africa
Benin,2000.0,Africa
Botswana,7300.0,Africa
Burkina Faso,4800.0,Africa
Burundi,5200.0,Africa
Cabo Verde,100.0,Africa
Cameroon,22000.0,Africa
Central African Republic,7800.0,Africa
Chad,3500.0,Africa
Comoros,100.0,Africa
Côte d'Ivoire,24000.0,Africa
Democratic Republic of the Congo,34000.0,Africa
Equatorial Guinea,1400.0,Africa
Eritrea,620.0,Africa
Eswatini,3800.0,Africa
Ethiopia,20000.0,Africa
Gabon,1600.0,Africa
Gambia,970.0,Africa
Ghana,17000.0,Africa
Guinea,4100.0,Africa
Guinea-Bissau,1900.0,Africa
Kenya,56000.0,Africa
Lesotho,7200.0,Africa
Liberia,2700.0,Africa
Madagascar,1400.0,Africa
Malawi,29000.0,Africa
Mali,5300.0,Africa
Mauritania,500.0,Africa
Mauritius,500.0,Africa
Mozambique,64000.0,Africa
Namibia,3500.0,Africa
Niger,1700.0,Africa
Nigeria,72000.0,Africa
Rwanda,5700.0,Africa
Senegal,1300.0,Africa
Sierra Leone,2900.0,Africa
South Africa,140000.0,Africa
South Sudan,9800.0,Africa
Togo,5700.0,Africa
Uganda,56000.0,Africa
United Republic of Tanzania,48000.0,Africa
Zambia,26000.0,Africa
Zimbabwe,54000.0,Africa
Egypt,200.0,Africa
Libya,100.0,Africa
Morocco,550.0,Africa
Somalia,1400.0,Africa
Congo,3900.0,Africa
Djibouti,630.0,Africa
Sudan,1900.0,Africa
Tunisia,100.0,Africa
