Country,Count_median
Argentina,1400.0
Bahamas,500.0
Barbados,100.0
Belize,100.0
Bolivia (Plurinational State of),670.0
Brazil,15000.0
Canada,500.0
Chile,220.0
Colombia,4500.0
Congo,6100.0
Costa Rica,500.0
Cuba,200.0
Dominican Republic,4800.0
Ecuador,1500.0
El Salvador,810.0
Guatemala,2400.0
Guyana,100.0
Haiti,12000.0
Honduras,3200.0
Jamaica,2400.0
Mexico,4700.0
Nicaragua,100.0
Panama,500.0
Paraguay,500.0
Peru,5100.0
Suriname,200.0
Trinidad and Tobago,1900.0
United States of America,15000.0
Uruguay,500.0
Venezuela (Bolivarian Republic of),2000.0
