Country,Count_median
Afghanistan,100.0
Australia,500.0
Bahrain,250.0
Bangladesh,100.0
Bhutan,100.0
Brunei Darussalam,200.0
Cambodia,4500.0
China,30000.0
Democratic People's Republic of Korea,
Djibouti,500.0
Egypt,100.0
Fiji,
India,310000.0
Indonesia,1900.0
Iran (Islamic Republic of),500.0
Japan,300.0
Jordan,100.0
Kuwait,100.0
Lao People's Democratic Republic,100.0
Lebanon,100.0
Libya,100.0
Malaysia,2700.0
Maldives,100.0
Mongolia,100.0
Morocco,500.0
Myanmar,5800.0
Nepal,500.0
New Zealand,100.0
Oman,100.0
Pakistan,100.0
Papua New Guinea,660.0
Philippines,100.0
Qatar,100.0
Republic of Korea,210.0
Saudi Arabia,500.0
Singapore,
Somalia,810.0
Sri Lanka,100.0
Sudan,650.0
Syrian Arab Republic,100.0
Thailand,54000.0
Timor-Leste,100.0
Tunisia,100.0
United Arab Emirates,
Viet Nam,6100.0
Yemen,100.0
Kazakhstan,200.0
Kyrgyzstan,100.0
Uzbekistan,1000.0
Turkmenistan,100.0
Tajikistan,100.0	
Turkey,200.0
Georgia,100.0
Armenia,100.0
Azerbaijan,100.0
Djibouti,3100.0

