Country,Count_median
Afghanistan,4200.0
Albania,0.0
Algeria,7100.0
Angola,220000.0
Argentina,110000.0
Armenia,3300.0
Australia,21000.0
Austria,
Azerbaijan,7800.0
Bahamas,5800.0
Bahrain,0.0
Bangladesh,7700.0
Barbados,2300.0
Belarus,12000.0
Belgium,15000.0
Belize,3700.0
Benin,61000.0
Bhutan,1300.0
Bolivia (Plurinational State of),23000.0
Bosnia and Herzegovina,200.0
Botswana,340000.0
Brazil,670000.0
Brunei Darussalam,
Bulgaria,1700.0
Burkina Faso,110000.0
Burundi,93000.0
Cabo Verde,2100.0
Cambodia,79000.0
Cameroon,520000.0
Canada,631000.0
Central African Republic,140000.0
Chad,99000.0
Chile,39000.0
China,550000.0
Colombia,130000.0
Comoros,200.0
Congo,82000.0
Costa Rica,9300.0
Croatia,1000.0
Cuba,17000.0
Cyprus,
Czechia,1800.0
Côte d'Ivoire,480000.0
Democratic People's Republic of Korea,
Democratic Republic of the Congo,480000.0
Denmark,5500.0
Djibouti,9400.0
Dominican Republic,72000.0
Ecuador,34000.0
Egypt,6800.0
El Salvador,26000.0
Equatorial Guinea,35000.0
Eritrea,17000.0
Estonia,6000.0
Eswatini,160000.0
Ethiopia,630000.0
Fiji,
Finland,2700.0
France,140000.0
Gabon,43000.0
Gambia,18000.0
Georgia,5600.0
Germany,69000.0
Ghana,300000.0
Greece,11000.0
Guatemala,49000.0
Guinea,100000.0
Guinea-Bissau,38000.0
Guyana,6700.0
Haiti,140000.0
Honduras,26000.0
Hungary,2000.0
Iceland,500.0
India,2700000.0
Indonesia,510000.0
Iran (Islamic Republic of),50000.0
Ireland,4800.0
Israel,6000.0
Italy,110000.0
Jamaica,37000.0
Japan,19000.0
Jordan,200.0
Kazakhstan,11000.0
Kenya,1500000.0
Kuwait,500.0
Kyrgyzstan,4100.0
Lao People's Democratic Republic,9900.0
Latvia,4000.0
Lebanon,1600.0
Lesotho,300000.0
Liberia,41000.0
Libya,6100.0
Lithuania,2200.0
Luxembourg,700.0
Madagascar,21000.0
Malawi,870000.0
Malaysia,74000.0
Maldives,
Mali,120000.0
Malta,
Mauritania,7100.0
Mauritius,11000.0
Mexico,180000.0
Mongolia,500.0
Montenegro,200.0
Morocco,17000.0
Mozambique,1600000.0
Myanmar,220000.0
Namibia,170000.0
Nepal,31000.0
Netherlands,20000.0
New Zealand,2500.0
Nicaragua,7900.0
Niger,37000.0
Nigeria,1500000.0
Norway,4200.0
Oman,2200.0
Pakistan,67000.0
Panama,20000.0
Papua New Guinea,38000.0
Paraguay,20000.0
Peru,65000.0
Philippines,15000.0
Poland,20000.0
Portugal,40000.0
Qatar,
Republic of Korea,13000.0
Republic of Moldova,16000.0
Republic of North Macedonia,200.0
Romania,14000.0
Russian Federation,444000.0
Rwanda,220000.0
Saudi Arabia,
Senegal,44000.0
Serbia,1800.0
Sierra Leone,58000.0
Singapore,6500.0
Slovakia,500.0
Slovenia,280.0
Somalia,17000.0
South Africa,6100000.0
South Sudan,140000.0
Spain,140000.0
Sri Lanka,4000.0
Sudan,43000.0
Suriname,4600.0
Sweden,6200.0
Switzerland,25000.0
Syrian Arab Republic,570.0
Tajikistan,9200.0
Thailand,580000.0
Timor-Leste,
Togo,100000.0
Trinidad and Tobago,
Tunisia,1400.0
Turkey,4600.0
Turkmenistan,
Uganda,1200000.0
Ukraine,230000.0
United Arab Emirates,
United Kingdom of Great Britain and Northern Ireland,
United Republic of Tanzania,1400000.0
United States of America,1200000.0
Uruguay,9600.0
Uzbekistan,30000.0
Venezuela (Bolivarian Republic of),110000.0
Viet Nam,220000.0
Yemen,5100.0
Zambia,1000000.0
Zimbabwe,1200000.0
